## DQN_train_2048_v2.py 运行时间

Begin time: 2026/2/28 01:23

End time: 2026/2/28 19:37

/Users/hfyan/MyPythonApp/.venv/bin/python /Users/hfyan/git/2025spring-cs201/code/2048/DQN_train_2048_v2.py 
正在使用设备: mps
Ep: 14800, Max: 256, Reward: 849.0, Eps: 0.010
Ep: 14900, Max: 256, Reward: 779.0, Eps: 0.010
Ep: 15000, Max: 256, Reward: 702.0, Eps: 0.010
Ep: 15100, Max: 256, Reward: 885.0, Eps: 0.010
Ep: 15200, Max: 128, Reward: 429.0, Eps: 0.010
Ep: 15300, Max: 128, Reward: 258.0, Eps: 0.010
Ep: 15400, Max: 512, Reward: 1360.0, Eps: 0.010
Ep: 15500, Max: 128, Reward: 489.0, Eps: 0.010
Ep: 15600, Max: 256, Reward: 482.0, Eps: 0.010
Ep: 15700, Max: 256, Reward: 713.0, Eps: 0.010
Ep: 15800, Max: 256, Reward: -4062.0, Eps: 0.010
Ep: 15900, Max: 512, Reward: 1453.0, Eps: 0.010
Ep: 16000, Max: 512, Reward: -120.0, Eps: 0.010
Ep: 16100, Max: 128, Reward: 627.0, Eps: 0.010
Ep: 16200, Max: 256, Reward: -128.0, Eps: 0.010
Ep: 16300, Max: 512, Reward: 1345.0, Eps: 0.010
Ep: 16400, Max: 256, Reward: 731.0, Eps: 0.010
Ep: 16500, Max: 256, Reward: -207.0, Eps: 0.010
Ep: 16600, Max: 128, Reward: 492.0, Eps: 0.010
Ep: 16700, Max: 256, Reward: 702.0, Eps: 0.010
Ep: 16800, Max: 512, Reward: 1445.0, Eps: 0.010
Ep: 16900, Max: 64, Reward: 300.0, Eps: 0.010
Ep: 17000, Max: 64, Reward: 313.0, Eps: 0.010
Ep: 17100, Max: 128, Reward: -248.0, Eps: 0.010
Ep: 17200, Max: 128, Reward: 501.0, Eps: 0.010
Ep: 17300, Max: 512, Reward: 1409.0, Eps: 0.010
Ep: 17400, Max: 256, Reward: 615.0, Eps: 0.010
Ep: 17500, Max: 256, Reward: 899.0, Eps: 0.010
Ep: 17600, Max: 256, Reward: -4152.0, Eps: 0.010
Ep: 17700, Max: 64, Reward: 266.0, Eps: 0.010
Ep: 17800, Max: 256, Reward: 789.0, Eps: 0.010
Ep: 17900, Max: 256, Reward: 484.0, Eps: 0.010
Ep: 18000, Max: 256, Reward: 147.0, Eps: 0.010
Ep: 18100, Max: 256, Reward: -4201.0, Eps: 0.010
Ep: 18200, Max: 256, Reward: -2543.0, Eps: 0.010
Ep: 18300, Max: 256, Reward: 992.0, Eps: 0.010
Ep: 18400, Max: 256, Reward: 476.0, Eps: 0.010
Ep: 18500, Max: 512, Reward: 726.0, Eps: 0.010
Ep: 18600, Max: 256, Reward: 843.0, Eps: 0.010
Ep: 18700, Max: 512, Reward: 1450.0, Eps: 0.010
Ep: 18800, Max: 512, Reward: 1200.0, Eps: 0.010
